"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",neutral,alexandria  va  march 15  jaakko vilo turku  finland  ha develop panel press ,1
"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ä+äN SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ñ+ñn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .",neutral,alma medium corporation press release march 25  2010 tyrvään sanomat purchase confirm business operation tyrvññn sanomat oy transfer suomen paikallissanomat oy ,1
"Altogether CapMan employs approximately 150 people in Helsinki , Stockholm , Copenhagen , Oslo , Moscow and Luxembourg .",neutral,altogether capman employ approximately 150 people helsinki  stockholm  copenhagen  oslo  moscow luxembourg ,1
"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .",neutral,altona state private company altona chairman kevin maloney  tulla resource  would take entitlement full ,1
An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 .,neutral,earnout payment 40 mln euro   53 mln  also pay depend intellibis financial performance 2007 ,1
An EU law on the issue may be introduced around 2010 .,neutral,eu law issue may introduce around 2010 ,1
Another firm Air Liquide was exempted because it left the market in 1998 .,neutral,another firm air liquide wa exempt leave market 1998 ,1
"Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don .",neutral,apartment yit home may purchase 5 region russia  yit subsidiary carry activity  moscow moscow region  st petersburg  ekaterinburg  kazan rostovondon ,1
Arena Partners Oy is a development company for electronic business .,neutral,arena partner oy development company electronic business ,1
"As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 .",neutral,july 2  2007  market cap segment update accord average price may 2007 ,1
"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland .",neutral,part agreement  aspocomp also give meadville 10 pct slice subsidiary operate oulu  finland ,1
"As part of the reorganization , Kauko-Telko Ltd will be divided into Telko Ltd , Leipurin Ltd , Hamina Terminal Services Ltd and Kaukomarkkinat Ltd. .",neutral,part reorganization  kaukotelko ltd divide telko ltd  leipurin ltd  hamina terminal service ltd kaukomarkkinat ltd ,1
Aspo 's Group structure and business operations are continually developed without any predefined schedules .,neutral,aspo group structure business operation continually develop without predefined schedule ,1
"At some point , it will spread also to Iran and Iraq .",neutral,point  spread also iran iraq ,1
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",neutral,end march 2009  company loan amount eur 10113 mn ,1
"At the moment , there are approximately 20 Vianor sales offices in Russia .",neutral,moment  approximately 20 vianor sale office russia ,1
"Barclays Plc ( LSE : BARC ) ( NYSE : BCS ) , Credit Agricole SA ( EPA : ACA ) ( CAGR .",neutral,barclays plc  lse  barc   nyse  bcs   credit agricole sa  epa  aca   cagr ,1
Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,neutral,basware business transaction service enable customer receive send invoice electronic format ,1
Basware finances the acquisition with a bank loan .,neutral,basware finance acquisition bank loan ,1
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .",neutral,basware invoice process  basware contract match  basware order match basware kpi report tool part basware enterprise purchase pay product suite ,1
Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK .,neutral,benefon turn salo unit b2b business unit establish b2c business unit uk ,1
"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital .",neutral,berling capital  umo capital veikko laine biggest shareholder amanda capital ,1
Bluewin Security is available as a monthly subscription .,neutral,bluewin security available monthly subscription ,1
"Byline : Tim Moran Cellular phone giant Nokia Corp. is offering $ 8.1 billion for digital map supplier NAVTEQ Corp. , of Chicago .",neutral,byline  tim moran cellular phone giant nokia corp offer  81 billion digital map supplier navteq corp  chicago ,1
Capital base and capital adequacy measurement is based on approaches under Basel II .,neutral,capital base capital adequacy measurement base approach basel ii ,1
"CapMan , with offices in Helsinki , Stockholm , Copenhagen and Oslo , manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EUR2 .6 bn in total capital .",neutral,capman  office helsinki  stockholm  copenhagen oslo  manage nordic buyout  mezzanine  technology  life science real estate fund approximately eur2 6 bn total capital ,1
"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .",neutral,capman first real estate fund  total investment capacity  euro  500 million close june 2005  invest commercial property helsinki metropolitan area ,1
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",neutral,cardona slow vehicle  turn around return intersection  call 911 ,1
"Cencorp would focus on the development , manufacture and marketing of standard products for production automation .",neutral,cencorp would focus development  manufacture market standard product production automation ,1
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .,neutral,change asbuilt model design communicate subcontractor accommodate steel grc fabrication process ,1
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,neutral,choose giant countdown red head rainbow trout  giant shad rap perch color ,1
